case_id,activity,timestamp,end_time,resource,severity,priority,incident_type,department,shift,sla_tier,support_level,status
INC-001,Log Incident,2025-07-01 20:01,2025-07-01 20:09,Service Desk Portal,critical,P1,security,IT,night,platinum,L0,logged
INC-001,Classify Incident,2025-07-01 20:15,2025-07-01 20:23,Service Desk Lead,critical,P1,security,IT,night,platinum,L0,classified
INC-001,Initial Diagnosis,2025-07-01 20:32,2025-07-01 21:08,L1 Agent Patel,critical,P1,security,IT,night,platinum,L1,diagnosed
INC-001,Assign to Team,2025-07-01 21:15,2025-07-01 21:29,Service Desk Lead,critical,P1,security,IT,night,platinum,L1,assigned
INC-001,Investigate,2025-07-01 21:52,2025-07-01 22:26,L1 Agent Patel,critical,P1,security,IT,night,platinum,L1,investigating
INC-001,Escalate to L2,2025-07-01 22:31,2025-07-01 22:37,L1 Agent Patel,critical,P1,security,IT,night,platinum,L1,escalated
INC-001,Investigate,2025-07-01 23:05,2025-07-02 00:39,L2 Engineer Santos,critical,P1,security,IT,night,platinum,L2,investigating
INC-001,Escalate to L3,2025-07-02 00:58,2025-07-02 01:03,L2 Engineer Santos,critical,P1,security,IT,night,platinum,L2,escalated
INC-001,Investigate,2025-07-02 01:48,2025-07-02 02:46,L3 Specialist Tanaka,critical,P1,security,IT,night,platinum,L3,investigating
INC-001,Request Change Approval,2025-07-02 03:10,2025-07-02 04:02,L3 Specialist Tanaka,critical,P1,security,IT,night,platinum,L3,change_requested
INC-001,Implement Change,2025-07-02 05:07,2025-07-02 07:20,L3 Specialist Tanaka,critical,P1,security,IT,night,platinum,L3,change_implemented
INC-001,Test Fix,2025-07-02 07:30,2025-07-02 08:09,L3 Specialist Tanaka,critical,P1,security,IT,night,platinum,L3,tested
INC-001,Verify Resolution,2025-07-02 08:24,2025-07-02 08:47,L3 Specialist Tanaka,critical,P1,security,IT,night,platinum,L3,verified
INC-001,Close Incident,2025-07-02 09:02,2025-07-02 09:09,Service Desk Portal,critical,P1,security,IT,night,platinum,L0,closed
INC-002,Log Incident,2025-07-02 09:13,2025-07-02 09:18,Service Desk Portal,critical,P1,network,Operations,day,platinum,L0,logged
INC-002,Classify Incident,2025-07-02 09:21,2025-07-02 09:32,Service Desk Lead,critical,P1,network,Operations,day,platinum,L0,classified
INC-002,Initial Diagnosis,2025-07-02 09:40,2025-07-02 10:22,L1 Agent Weber,critical,P1,network,Operations,day,platinum,L1,diagnosed
INC-002,Assign to Team,2025-07-02 10:38,2025-07-02 10:52,Service Desk Lead,critical,P1,network,Operations,day,platinum,L1,assigned
INC-002,Investigate,2025-07-02 11:10,2025-07-02 13:23,L1 Agent Weber,critical,P1,network,Operations,day,platinum,L1,investigating
INC-002,Escalate to L2,2025-07-02 13:29,2025-07-02 13:41,L1 Agent Weber,critical,P1,network,Operations,day,platinum,L1,escalated
INC-002,Investigate,2025-07-02 14:30,2025-07-02 17:04,L2 Engineer Santos,critical,P1,network,Operations,day,platinum,L2,investigating
INC-002,Escalate to L3,2025-07-02 17:20,2025-07-02 17:26,L2 Engineer Santos,critical,P1,network,Operations,day,platinum,L2,escalated
INC-002,Investigate,2025-07-02 18:56,2025-07-02 21:12,L3 Specialist Tanaka,critical,P1,network,Operations,day,platinum,L3,investigating
INC-002,Request Change Approval,2025-07-02 21:42,2025-07-02 22:36,L3 Specialist Tanaka,critical,P1,network,Operations,day,platinum,L3,change_requested
INC-002,Implement Change,2025-07-02 23:52,2025-07-03 01:35,L3 Specialist Tanaka,critical,P1,network,Operations,day,platinum,L3,change_implemented
INC-002,Test Fix,2025-07-03 01:51,2025-07-03 02:28,L3 Specialist Tanaka,critical,P1,network,Operations,day,platinum,L3,tested
INC-002,Verify Resolution,2025-07-03 02:40,2025-07-03 02:51,L3 Specialist Tanaka,critical,P1,network,Operations,day,platinum,L3,verified
INC-002,Close Incident,2025-07-03 03:03,2025-07-03 03:10,Service Desk Portal,critical,P1,network,Operations,day,platinum,L0,closed
INC-003,Log Incident,2025-07-03 08:54,2025-07-03 08:58,Service Desk Portal,critical,P1,software,Finance,day,platinum,L0,logged
INC-003,Classify Incident,2025-07-03 09:01,2025-07-03 09:10,Auto-Classifier,critical,P1,software,Finance,day,platinum,L0,classified
INC-003,Initial Diagnosis,2025-07-03 09:29,2025-07-03 09:49,L1 Agent Weber,critical,P1,software,Finance,day,platinum,L1,diagnosed
INC-003,Assign to Team,2025-07-03 10:05,2025-07-03 10:15,Service Desk Lead,critical,P1,software,Finance,day,platinum,L1,assigned
INC-003,Investigate,2025-07-03 10:31,2025-07-03 12:26,L1 Agent Weber,critical,P1,software,Finance,day,platinum,L1,investigating
INC-003,Escalate to L2,2025-07-03 12:39,2025-07-03 12:54,L1 Agent Weber,critical,P1,software,Finance,day,platinum,L1,escalated
INC-003,Investigate,2025-07-03 13:50,2025-07-03 15:37,L2 Engineer Santos,critical,P1,software,Finance,day,platinum,L2,investigating
INC-003,Escalate to L3,2025-07-03 15:57,2025-07-03 16:04,L2 Engineer Santos,critical,P1,software,Finance,day,platinum,L2,escalated
INC-003,Investigate,2025-07-03 17:32,2025-07-03 18:22,L3 Specialist Mueller,critical,P1,software,Finance,day,platinum,L3,investigating
